Date,Location,Rank,Score,Corps
2024-07-20,"San Antonio, TX",1st,93.025,Bluecoats
2024-07-20,"San Antonio, TX",2nd,91.875,Blue Devils
2024-07-20,"San Antonio, TX",3rd,91.85,Boston Crusaders
2024-07-20,"San Antonio, TX",4th,89.925,Carolina Crown
2024-07-20,"San Antonio, TX",5th,89.625,Phantom Regiment
2024-07-20,"San Antonio, TX",6th,87.525,Santa Clara Vanguard
2024-07-20,"San Antonio, TX",7th,87.225,Mandarins
2024-07-20,"San Antonio, TX",8th,84.938,Blue Stars
2024-07-20,"San Antonio, TX",9th,84.675,The Cavaliers
2024-07-20,"San Antonio, TX",10th,83.35,Colts
2024-07-20,"San Antonio, TX",11th,81.875,Troopers
2024-07-20,"San Antonio, TX",12th,80.05,Madison Scouts
2024-07-27,"Atlanta, GA",1st,94.425,Bluecoats
2024-07-27,"Atlanta, GA",2nd,93.875,Boston Crusaders
2024-07-27,"Atlanta, GA",3rd,93.325,Blue Devils
2024-07-27,"Atlanta, GA",4th,91.65,Phantom Regiment
2024-07-27,"Atlanta, GA",5th,91.575,Carolina Crown
2024-07-27,"Atlanta, GA",6th,89.475,Santa Clara Vanguard
2024-07-27,"Atlanta, GA",7th,88.15,Mandarins
2024-07-27,"Atlanta, GA",8th,86.725,Blue Stars
2024-07-27,"Atlanta, GA",9th,85.85,Colts
2024-08-02,"Allentown, PA",1st,95.9,Bluecoats
2024-08-02,"Allentown, PA",2nd,94.65,Blue Devils
2024-08-02,"Allentown, PA",3rd,88.0,Colts
2024-08-02,"Allentown, PA",4th,86.675,The Cavaliers
2024-08-02,"Allentown, PA",5th,84.9,Madison Scouts
2024-08-08,"Indianapolis, IN",1st,97.525,Bluecoats
2024-08-08,"Indianapolis, IN",2nd,96.6,Boston Crusaders
2024-08-08,"Indianapolis, IN",3rd,95.875,Blue Devils
2024-08-08,"Indianapolis, IN",4th,94.313,Carolina Crown
2024-08-08,"Indianapolis, IN",5th,94.275,Phantom Regiment
2024-08-08,"Indianapolis, IN",6th,93.0,Santa Clara Vanguard
2024-08-08,"Indianapolis, IN",7th,91.225,Mandarins
2024-08-08,"Indianapolis, IN",8th,90.55,Blue Stars
2024-08-08,"Indianapolis, IN",9th,89.35,Colts
2024-08-08,"Indianapolis, IN",10th,88.212,The Cavaliers
2024-08-08,"Indianapolis, IN",11th,87.963,Troopers
2024-08-08,"Indianapolis, IN",12th,86.575,Madison Scouts
2024-08-09,"Indianapolis, IN",1st,97.925,Bluecoats
2024-08-09,"Indianapolis, IN",2nd,97.0,Boston Crusaders
2024-08-09,"Indianapolis, IN",3rd,96.55,Blue Devils
2024-08-09,"Indianapolis, IN",4th,95.325,Phantom Regiment
2024-08-09,"Indianapolis, IN",5th,94.75,Carolina Crown
2024-08-09,"Indianapolis, IN",6th,93.463,Santa Clara Vanguard
2024-08-09,"Indianapolis, IN",7th,92.525,Mandarins
2024-08-09,"Indianapolis, IN",8th,91.5,Blue Stars
2024-08-09,"Indianapolis, IN",9th,90.175,Colts
2024-08-09,"Indianapolis, IN",10th,88.8,Troopers
2024-08-09,"Indianapolis, IN",11th,88.525,The Cavaliers
2024-08-09,"Indianapolis, IN",12th,88.075,Madison Scouts
2024-08-10,"Indianapolis, IN",1st,98.75,Bluecoats
2024-08-10,"Indianapolis, IN",2nd,97.413,Boston Crusaders
2024-08-10,"Indianapolis, IN",3rd,97.075,Blue Devils
2024-08-10,"Indianapolis, IN",4th,95.225,Phantom Regiment
2024-08-10,"Indianapolis, IN",5th,95.025,Carolina Crown
2024-08-10,"Indianapolis, IN",6th,93.925,Santa Clara Vanguard
2024-08-10,"Indianapolis, IN",7th,92.15,Mandarins
2024-08-10,"Indianapolis, IN",8th,91.6,Blue Stars
2024-08-10,"Indianapolis, IN",9th,89.775,Colts
2024-08-10,"Indianapolis, IN",10th,88.95,Troopers
2024-08-10,"Indianapolis, IN",11th,87.5,The Cavaliers
2024-08-10,"Indianapolis, IN",12th,87.05,Madison Scouts
